news_id,source_post_id,published_at_gmt,title,url,content_class,source_quality,relevance_score,filter_reason,matched_keywords,matched_exclusions,first_seen_at,last_seen_at,filter_rule_version
semiengineering_24277410,24277410,2026-06-09,"Advancements in Corona Noncontact Metrology Tools, CnCV, for Industrial WBG Wafer Testing and Electrical Defect Related Yield Prediction",https://semiengineering.com/recent-technological-advancements-in-corona-noncontact-metrology-tools-cncv-for-industrial-wbg-wafer-testing-and-electrical-defect-related-yield-prediction/,whitepaper,C,6,manual_reject,metrology|process control|semiconductor metrology|yield,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277431,24277431,2026-06-09,"AI Models Transform Defect Inspection And Review, But Can Fail To Scale",https://semiengineering.com/ai-models-transform-defect-inspection-and-review-but-can-fail-to-scale/,editorial,A,0,low_relevance,inspection,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277446,24277446,2026-06-09,Effective UX/UI Is A Critical Link Between AI Insights And Yield Improvement,https://semiengineering.com/effective-ux-ui-is-a-critical-link-between-ai-insights-and-yield-improvement/,vendor_blog,C,2,low_relevance,process control|yield,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277449,24277449,2026-06-09,High-Speed Manufacturing And In-Field Scan Test Access Via PCI Express For GPIO Limited SoCs,https://semiengineering.com/high-speed-manufacturing-and-in-field-scan-test-access-via-pci-express-for-gpio-limited-socs/,vendor_blog,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277454,24277454,2026-06-09,"Test Anything, Anywhere, Anytime",https://semiengineering.com/test-anything-anywhere-anytime/,vendor_blog,C,2,low_relevance,EDA,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277324,24277324,2026-06-08,Disturbance In Verification,https://semiengineering.com/disturbance-in-verification/,opinion,B,2,low_relevance,EDA,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277379,24277379,2026-06-08,Chip Industry Technical Paper Roundup: June 8,https://semiengineering.com/chip-industry-technical-paper-roundup-june-8/,roundup,B,0,low_relevance,metrology,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277394,24277394,2026-06-08,Research Bits: June 8,https://semiengineering.com/research-bits-june-8-2/,roundup,B,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277310,24277310,2026-06-05,Reduce Memory Redesigns With Shift-Left,https://semiengineering.com/reduce-memory-redesigns-with-shift-left/,vendor_blog,C,2,low_relevance,EDA,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277351,24277351,2026-06-05,A Comprehensive Approach To 3D-IC Physical Verification,https://semiengineering.com/a-comprehensive-approach-to-3d-ic-physical-verification/,whitepaper,C,2,low_relevance,EDA,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277367,24277367,2026-06-05,"Analyzing Rowhammer Vulnerability in Monolithic 3D IWO eDRAM for Edge (ASU, Georgia Tech)",https://semiengineering.com/analyzing-rowhammer-vulnerability-in-monolithic-3d-iwo-edram-for-edge-asu-georgia-tech/,technical_paper,B,0,low_relevance,thermal,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277370,24277370,2026-06-05,Accelerating Zero-Knowledge Proof Generation With Reconfigurable Hardware (KAIST),https://semiengineering.com/accelerating-zero-knowledge-proof-generation-with-reconfigurable-hardware-kaist/,technical_paper,B,2,low_relevance,design verification,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277193,24277193,2026-06-04,Orbital Data Centers Are Souped-Up Satellites – For Now,https://semiengineering.com/orbital-data-centers-are-souped-up-satellites-for-now/,editorial,A,0,low_relevance,data centers,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277225,24277225,2026-06-04,Keeping Security Algorithms Current Is Getting Harder,https://semiengineering.com/keeping-security-algorithms-current-is-getting-harder/,editorial,A,2,low_relevance,EDA,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277239,24277239,2026-06-04,AI-Defined Vehicles Increase Pressure On Auto Ethernet Reliability,https://semiengineering.com/ai-defined-vehicles-increase-pressure-on-auto-ethernet-reliability/,editorial,A,0,low_relevance,reliability,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277251,24277251,2026-06-04,The Edge LLM Offload Story,https://semiengineering.com/the-edge-llm-offload-story/,vendor_blog,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277256,24277256,2026-06-04,RISC-V And GPU Synergy In Practice: A Path Toward High-Performance SoCs,https://semiengineering.com/risc-v-and-gpu-synergy-in-practice-a-path-towards-high-performance-socs/,vendor_blog,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277260,24277260,2026-06-04,Delivering Automotive-Grade Quality With Customized FinFET Foundation IP,https://semiengineering.com/delivering-automotive-grade-quality-with-customized-finfet-foundation-ip/,vendor_blog,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277265,24277265,2026-06-04,Defending Smart Homes Against AI Cyber Attacks,https://semiengineering.com/defending-smart-homes-against-ai-cyber-attacks/,vendor_blog,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277268,24277268,2026-06-04,Beyond PCIe Compliance: Why Stress Testing Is Crucial For Edge AI Deployments,https://semiengineering.com/beyond-pcie-compliance-why-stress-testing-is-crucial-for-edge-ai-deployments/,vendor_blog,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277272,24277272,2026-06-04,Breaking The “Unhackable” Xbox One,https://semiengineering.com/breaking-the-unhackable-xbox-one/,vendor_blog,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277285,24277285,2026-06-04,"Securing Terabit Ethernet For AI: Where MACsec, IPsec, And UET TSS Each Fit (And Why You Need More Than One)",https://semiengineering.com/securing-terabit-ethernet-for-ai-where-macsec-ipsec-and-uet-tss-each-fit-and-why-you-need-more-than-one/,vendor_blog,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277131,24277131,2026-06-03,Pentesting: The Required Human Ingenuity to Uncover Security Gaps,https://semiengineering.com/pentesting-the-required-human-ingenuity-to-uncover-security-gaps/,whitepaper,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277133,24277133,2026-06-03,GaN Power Devices Power Up,https://semiengineering.com/gan-power-devices-power-up/,editorial,A,0,low_relevance,packaging,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277141,24277141,2026-06-03,Connectivity and Compute in Next-Gen Edge Devices,https://semiengineering.com/connectivity-and-compute-in-next-gen-edge-devices/,whitepaper,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277147,24277147,2026-06-03,Blog Review: Jun. 3,https://semiengineering.com/blog-review-jun-3/,roundup,B,2,low_relevance,EDA,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277165,24277165,2026-06-03,Centralized Architecture for Automotive ADAS/AD Radar Based on Raw-ADC-Data,https://semiengineering.com/centralized-architecture-for-automotive-adas-ad-radar-based-on-raw-adc-data/,whitepaper,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277167,24277167,2026-06-03,From Circuits to Systems: Unlocking the Power of Periodic Steady-State Analysis (eBook),https://semiengineering.com/from-circuits-to-systems-unlocking-the-power-of-periodic-steady-state-analysis-ebook/,whitepaper,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277173,24277173,2026-06-03,Beating the Edge AI Power Wall with Low Voltage Foundation IP,https://semiengineering.com/beating-the-edge-ai-power-wall-with-low-voltage-foundation-ip/,whitepaper,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277219,24277219,2026-06-03,"Scaling Nanoribbon Transistors with Monolayer TMDs (Stanford, Chalmers, Horiba, SLAC)",https://semiengineering.com/scaling-nanoribbon-transistors-with-monolayer-tmds-stanford-chalmers-horiba-slac/,technical_paper,B,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277180,24277180,2026-06-02,Moving Intelligence Closer to the Sensor Edge (IBM Research),https://semiengineering.com/moving-intelligence-closer-to-the-sensor-edge-ibm-research/,technical_paper,B,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277184,24277184,2026-06-02,"Scaling Open-Source HW Accelerator for Deep NN Inference (UDE, Fraunhofer IMS)",https://semiengineering.com/scaling-open-source-hw-accelerator-for-deep-nn-inference-ude-fraunhofer-ims/,technical_paper,B,2,low_relevance,design verification,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277189,24277189,2026-06-02,"Surface Modification for III-V Selective Area MBE of Non-Selective Mask Materials (UT Austin, Harvard)",https://semiengineering.com/surface-modification-for-iii-v-selective-area-mbe-of-non-selective-mask-materials-ut-austin-harvard/,technical_paper,B,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277042,24277042,2026-05-29,From Billions Of Violations To Actionable Insights: Calibre Vision AI,https://semiengineering.com/from-billions-of-violations-to-actionable-insights-calibre-vision-ai/,whitepaper,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277060,24277060,2026-05-29,Moving Defect Detection And Classification To The Edge,https://semiengineering.com/moving-defect-detection-and-classification-to-the-edge/,video,C,2,low_relevance,inspection|reliability|wafer inspection,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277081,24277081,2026-05-29,"Building Fixed HW Implementations of Neural Networks (Yale, Cornell et al.)",https://semiengineering.com/building-fixed-hw-implementations-of-neural-networks-yale-cornell-et-al/,technical_paper,B,2,low_relevance,design verification,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276906,24276906,2026-05-28,Toward Agentic Verification,https://semiengineering.com/toward-agentic-verification/,unknown,C,2,low_relevance,EDA,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276952,24276952,2026-05-28,Why Your NoC Verification Strategy Must Consider Using Formal,https://semiengineering.com/why-your-noc-verification-strategy-must-consider-using-formal/,vendor_blog,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276959,24276959,2026-05-28,Faster Verification Debug With AI,https://semiengineering.com/faster-verification-debug-with-ai/,vendor_blog,C,0,low_relevance,inspection,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276964,24276964,2026-05-28,Automating Traditional PCB Layout Verification With Electrically Based Design Rule Checks,https://semiengineering.com/automating-traditional-pcb-layout-verification-with-electrically-based-design-rule-checks/,vendor_blog,C,2,low_relevance,EDA|inspection|signal integrity,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24277004,24277004,2026-05-28,Foundation Model For Physics: The Next Layer Of Intelligence For Engineering,https://semiengineering.com/foundation-model-for-physics-the-next-layer-of-intelligence-for-engineering/,vendor_blog,C,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276909,24276909,2026-05-27,Multiphysics Fusion Technology for Multi-Die Designs Explained,https://semiengineering.com/multiphysics-fusion-technology-for-multi-die-designs-explained/,whitepaper,C,0,low_relevance,packaging,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276919,24276919,2026-05-27,Blog Review: May 27,https://semiengineering.com/blog-review-may-27-3/,roundup,B,2,low_relevance,EDA,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276861,24276861,2026-05-26,Chip Industry Technical Paper Roundup: May 26,https://semiengineering.com/chip-industry-technical-paper-roundup-may-26/,roundup,B,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276893,24276893,2026-05-26,Research Bits: May 26,https://semiengineering.com/research-bits-may-26/,roundup,B,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276881,24276881,2026-05-25,"An Agent-Driven End-to-End HW-SW Co-Design Benchmark for Heterogeneous SoCs (Columbia, IBM)",https://semiengineering.com/an-agent-driven-end-to-end-hw-sw-co-design-benchmark-for-heterogeneous-socs-columbia-ibm/,technical_paper,B,2,low_relevance,design verification,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276883,24276883,2026-05-25,"Impact of Band-to-Band Tunneling in the CTL of V-NAND Flash Memory (U. of Seoul, Samsung)",https://semiengineering.com/impact-of-band-to-band-tunneling-in-the-ctl-of-v-nand-flash-memory-u-of-seoul-samsung/,technical_paper,B,0,low_relevance,reliability,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276888,24276888,2026-05-25,"Detecting Defect-Induced Silent Data Corruptions in CPUs (Stanford, Google)",https://semiengineering.com/detecting-defect-induced-silent-data-corruptions-in-cpus-stanford-google/,technical_paper,B,2,low_relevance,design verification|reliability,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276713,24276713,2026-05-21,Cost-Effective High-Performance Flip Chip MicroLeadFrame (fcMLF) Package Introduction,https://semiengineering.com/cost-effective-high-performance-flip-chip-microleadframe-fcmlf-package/,whitepaper,C,0,low_relevance,packaging|thermal,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276771,24276771,2026-05-21,Enabling Production-Ready AI For Semiconductor Manufacturing,https://semiengineering.com/enabling-production-ready-ai-for-semiconductor-manufacturing/,vendor_blog,C,0,low_relevance,inspection|packaging,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276776,24276776,2026-05-21,Beyond Ideal Crystals: The Case For Scale In Atomistic Modeling,https://semiengineering.com/beyond-ideal-crystals-the-case-for-scale-in-atomistic-modeling/,vendor_blog,C,0,low_relevance,packaging,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276780,24276780,2026-05-21,AI & Energy: Bending The Curve,https://semiengineering.com/ai-energy-bending-the-curve/,vendor_blog,C,0,low_relevance,packaging,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276791,24276791,2026-05-21,Process Variation In The Era Of Scaling: Improving Uniformity With Dummy Fill,https://semiengineering.com/process-variation-in-the-era-of-scaling-improving-uniformity-with-dummy-fill/,vendor_blog,C,0,low_relevance,packaging,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276725,24276725,2026-05-19,Research Bits: May 19,https://semiengineering.com/research-bits-may-19/,roundup,B,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276663,24276663,2026-05-18,"A Deionized Water-Based Large-Scale Transfer Process For 2D Materials Grown on Sapphire (AMO, RWTH, Aixtron)",https://semiengineering.com/a-deionized-water-based-large-scale-transfer-process-for-2d-materials-grown-on-sapphire-amo-rwth-aixtron/,technical_paper,B,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276666,24276666,2026-05-18,"Scalable Photomask Optimization With Morphological Learning (SUNY Buffalo, VU, IBM)",https://semiengineering.com/scalable-photomask-optimization-with-morphological-learning-suny-buffalo-vu-ibm/,technical_paper,B,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276678,24276678,2026-05-18,"Evaluating and Calibrating Performance On RISC-V Vector Processors (KTH, LLNL, BSC)",https://semiengineering.com/evaluating-and-calibrating-performance-on-risc-v-vector-processors-kth-llnl-bsc/,technical_paper,B,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
semiengineering_24276688,24276688,2026-05-18,"Workflow-Level Design For Trustworthy GenAI Integration in Vehicles (UOL, Denso)",https://semiengineering.com/workflow-level-design-for-trustworthy-genai-integration-in-vehicle-systems-uol-denso/,technical_paper,B,0,low_relevance,,,2026-06-14,2026-06-25,news_filter_v1_1
